The file has been saved successfully. All 10 students' scores have been recorded in the spreadsheet:

1. **Linda Garcia** (20230901000): Q1=1, Q2=0, Q3=1, Q4=1, Q5=1, Q6=0, Q7=1, Q8=0, Q9=1, Q10=1, Total=70 (was already filled)
2. **Richard Smith** (20230901001): Q1=1, Q2=1, Q3=0, Q4=1, Q5=1, Q6=0, Q7=1, Q8=0, Q9=1, Q10=1, Total=70
3. **Jennifer Rodriguez** (20230901002): Q1=1, Q2=1, Q3=1, Q4=1, Q5=0, Q6=0, Q7=1, Q8=0, Q9=1, Q10=1, Total=70
4. **Michael Gonzalez** (20230901003): Q1=0, Q2=1, Q3=1, Q4=1, Q5=1, Q6=1, Q7=1, Q8=0, Q9=1, Q10=1, Total=80
5. **Mary Williams** (20230901004): Q1=1, Q2=1, Q3=1, Q4=1, Q5=0, Q6=1, Q7=1, Q8=1, Q9=1, Q10=0, Total=80
6. **Joseph Thomas** (20230901005): Q1=1, Q2=1, Q3=1, Q4=0, Q5=1, Q6=0, Q7=0, Q8=1, Q9=0, Q10=1, Total=60
7. **James Martinez** (20230901006): Q1=1, Q2=0, Q3=1, Q4=1, Q5=1, Q6=0, Q7=1, Q8=0, Q9=1, Q10=0, Total=60
8. **Barbara Wilson** (20230901007): Q1=1, Q2=1, Q3=0, Q4=1, Q5=1, Q6=1, Q7=1, Q8=1, Q9=1, Q10=1, Total=90
9. **Karen Davis** (20230901008): Q1=0, Q2=1, Q3=0, Q4=1, Q5=0, Q6=1, Q7=1, Q8=0, Q9=1, Q10=0, Total=50
10. **David Brown** (20230901009): Q1=1, Q2=1, Q3=1, Q4=1, Q5=1, Q6=1, Q7=1, Q8=1, Q9=1, Q10=1, Total=100

DONE
