The grades are now showing correctly in LibreOffice Calc! All students have been graded:

| Student | Score |
|---------|-------|
| Linda Garcia | 70 |
| Richard Smith | 70 |
| Jennifer Rodriguez | 70 |
| Michael Gonzalez | 80 |
| Mary Williams | 80 |
| Joseph Thomas | 60 |
| James Martinez | 60 |
| Barbara Wilson | 90 |
| Karen Davis | 50 |
| David Brown | 100 |

The file has already been saved by the Python script. Now let me save it in LibreOffice Calc format to make sure it's properly saved.
