The spreadsheet grades.xlsx is now open in LibreOffice Calc and displaying all the graded data. I can see:

- **Row 1**: Headers (Student ID, Student Name, Q1-Q10, Total Grade)
- **Row 2**: Linda Garcia - 70 (pre-existing)
- **Row 3**: Richard Smith - 70
- **Row 4**: Jennifer Rodriguez - 70
- **Row 5**: Michael Gonzalez - 80
- **Row 6**: Mary Williams - 80
- **Row 7**: Joseph Thomas - 60
- **Row 8**: James Martinez - 60
- **Row 9**: Barbara Wilson - 90
- **Row 10**: Karen Davis - 50
- **Row 11**: David Brown - 100

All scores are in 1/0 format with totals calculated correctly. Let me dismiss the notification and confirm the spreadsheet is fully visible.
